OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,LABEL
EYESAT A (AO-27),1993-061C,2026-06-24T03:10:13.829664,14.30943872,0.00095273,98.6877,242.5432,81.9186,278.3077,0,U,22825,999,70799,4.2630551e-05,6.699999999999999e-07,0.0,Satellite
ITAMSAT (IO-26),1993-061D,2026-06-24T04:18:15.648192,14.31370976,0.00099462,98.6825,242.5085,66.8438,293.3792,0,U,22826,999,70831,4.1552966e-05,6.599999999999999e-07,0.0,Satellite
USA 99 (MILSTAR-1 1),1994-009A,2026-06-23T10:16:31.363392,0.98724373,6.174000000000002e-05,17.636400000000002,27.6422,217.0463,151.2336,0,U,22988,999,3301,0.0,-2.42e-06,0.0,Satellite
RADIO ROSTO (RS15),1994-085A,2026-06-24T00:48:34.261632,11.27583476,0.01561697,64.8185,292.1434,2.6089,357.5616,0,U,23439,999,29667,-0.00031342096,-5.4e-07,0.0,Satellite
UFO 4 (USA 108),1995-003A,2026-06-23T19:06:38.846880,1.00273282,0.00029792,9.6932,13.2066,76.137,281.4644,0,U,23467,999,11501,0.0,-2.4e-07,0.0,Satellite
TDRS 7,1995-035B,2026-06-23T23:22:43.463424,1.00279484,0.00118858,13.3744,348.1428,81.6426,281.9695,0,U,23613,999,11332,0.0,-2.43e-06,0.0,Satellite
USA 115 (MILSTAR-1 2),1995-060A,2026-06-24T00:11:38.628672,1.00364402,0.00019097,14.0752,3.7001,131.8568,47.5571,0,U,23712,999,3295,0.0,-2.08e-06,0.0,Satellite
POLAR,1996-013A,2026-06-21T15:48:09.590112,1.2984612,0.64748323,79.8598,226.9999,208.9246,90.1528,0,U,23802,999,14491,0.0,8.3e-07,0.0,Satellite
INMARSAT 3-F1,1996-020A,2026-06-24T03:44:33.357696,0.9997806,0.00038129,10.6149,46.5699,62.7333,116.612,0,U,23839,999,11032,0.0,-7.4e-07,0.0,Satellite
USA 119,1996-029A,2026-06-24T04:03:27.923616,13.46249956,0.08515501,63.3165,173.8312,49.2741,317.9126,0,U,23893,999,10621,0.0002532092,1.48e-05,0.0,Satellite
JAS-2 (FO-29),1996-046B,2026-06-24T04:29:15.151488,13.53274665,0.03509206,98.5235,23.0999,78.3218,285.7074,0,U,24278,999,47411,1.4758025e-05,-1.8e-07,0.0,Satellite
INMARSAT 3-F2,1996-053A,2026-06-23T18:15:30.923712,1.00001315,0.0006515,9.8711,53.869,36.0978,238.8301,0,U,24307,999,10898,0.0,-3.03e-06,0.0,Satellite
INMARSAT 3-F3,1996-070A,2026-06-23T19:42:16.585920,0.99985595,0.00031343,10.3319,49.5894,37.2361,156.3639,0,U,24674,999,10797,0.0,1.3e-06,0.0,Satellite
NAVSTAR 43 (USA 132),1997-035A,2026-06-23T16:23:45.102624,2.00563921,0.01027955,55.9981,98.3213,57.063,303.9089,0,U,24876,999,21208,0.0,-4.2e-07,0.0,Satellite
FORTE,1997-047A,2026-06-24T05:45:22.895712,14.27947524,0.00246284,69.954,358.0902,268.8553,90.9748,0,U,24920,999,49969,7.6067267e-05,1.31e-06,0.0,Satellite
USA 134,1997-065A,2026-06-24T03:57:38.649888,1.00269275,0.00031876,12.7926,21.6725,344.8141,212.867,0,U,25019,999,3302,0.0,-6.599999999999999e-07,0.0,Satellite
ORBCOMM FM06,1997-084G,2026-06-23T19:52:10.731072,14.47576116,4.944e-05,45.0147,20.7433,357.6527,17.4155,0,U,25118,999,49535,0.00027590084,8.8e-06,0.0,Satellite
INMARSAT 3-F5,1998-006B,2026-06-24T02:07:22.459296,1.0027381,0.00042946,9.7087,53.1932,33.2792,163.6383,0,U,25153,999,10396,0.0,-2.92e-06,0.0,Satellite
ORBCOMM FM04,1998-007C,2026-06-24T07:00:41.990688,14.35752481,0.00415462,107.9627,184.0425,312.5677,47.196,0,U,25159,999,47761,0.0002771115699999,6.77e-06,0.0,Satellite
CELESTIS-02 & TAURUS R/B,1998-007D,2026-06-24T05:37:06.578688,14.22488296,0.00604437,108.0151,346.5567,121.9762,50.4241,0,U,25160,999,47151,6.346618600000001e-05,1.5e-07,0.0,Satellite
TECHSAT 1B (GO-32),1998-043D,2026-06-23T22:45:24.588000,14.24429485,0.00013897,99.007,167.8775,150.1095,210.0162,0,U,25397,999,45229,3.6578906000000006e-05,3.8e-07,0.0,Satellite
WESTPAC,1998-043E,2026-06-24T05:28:48.674496,14.23053637,0.00015329,99.0138,161.443,148.6869,211.44,0,U,25398,999,45194,1.2005415e-05,-2e-07,0.0,Satellite
ORBCOMM FM19,1998-046C,2026-06-23T20:01:29.959392,14.39504255,0.00044661,44.992,211.9647,308.8882,220.7626,0,U,25415,999,45773,0.00019353144,4.66e-06,0.0,Satellite
ORBCOMM FM20,1998-046D,2026-06-23T19:42:17.417088,14.38072666,0.00024727,44.9922,220.024,272.0892,87.9673,0,U,25416,999,45774,0.00015500359,3.32e-06,0.0,Satellite
ORBCOMM FM27,1998-053G,2026-06-24T01:26:17.569248,14.39152544,0.00016403,45.0061,302.7108,220.0549,140.0179,0,U,25481,999,45122,0.0002664014,6.9e-06,0.0,Satellite
SCD 2,1998-060A,2026-06-24T07:05:52.020672,14.45528165,0.00166909,24.9965,28.3199,197.652,323.1922,0,U,25504,999,46135,4.6642513e-05,3.5e-06,0.0,Satellite
ISS (ZARYA),1998-067A,2026-06-24T03:44:04.640064,15.49396189,0.0004426999999999,51.6326,265.6,224.4953,135.5681,0,U,25544,999,57283,0.00013974885,7.363e-05,0.0,Satellite
SWAS,1998-071A,2026-06-24T04:07:19.093728,15.09655242,0.00087013,69.8932,209.5067,252.5786,107.4427,0,U,25560,999,49832,0.0001374238699999,2.1130000000000003e-05,0.0,Satellite
