Feature,Importance
ECCENTRICITY,0.47705034586253087
INCLINATION,0.2723908883204068
MEAN_MOTION,0.13140442212225245
BSTAR,0.057678944460911624
MEAN_MOTION_DOT,0.041558303350617914
ARG_OF_PERICENTER,0.007678032181171202
MEAN_ANOMALY,0.006053437807920395
RA_OF_ASC_NODE,0.00590880715757073
MEAN_MOTION_DDOT,0.0002768187366180223
